LastReportedND_x	LastReportedND_y	LastReportedND_z	dronesDensity	totalConflicts	conflictFrequency	currentTime	testVariable	CurrentVariable	timeScale	runTime	speed	queueLength	citySize	BCI	FAI	HVariability	ARVariability	
0	0	0	0	0	0	0.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	1.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	2.89351851851852E-07	0	0	2.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	2.89351851851852E-07	0	0	3.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	2.89351851851852E-07	0	0	4.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	5.78703703703704E-07	0	0	5.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	5.78703703703704E-07	0	0	6.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	7.2337962962963E-07	0	0	7.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	8.68055555555556E-07	0	0	8.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	8.68055555555556E-07	0	0	9.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	1.08506944444444E-06	0	0	10.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	1.15740740740741E-06	0	0	11.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	1.22974537037037E-06	0	0	12.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	1.44675925925926E-06	0	0	13.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	1.44675925925926E-06	0	0	14.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	1.51909722222222E-06	0	0	15.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	1.73611111111111E-06	0	0	16.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	1.73611111111111E-06	0	0	17.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	1.953125E-06	0	0	18.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	2.02546296296296E-06	0	0	19.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	2.09780092592593E-06	0	0	20.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	2.31481481481481E-06	0	0	21.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
